VM,Powerstate,Template,SRM Placeholder,Config status,DNS Name,Connection state,Guest state,Heartbeat,Consolidation Needed,PowerOn,Suspend time,Creation date,Change Version,CPUs,Memory,NICs,Disks,min Required EVC Mode Key,Latency Sensitivity,EnableUUID,CBT,Primary IP Address,Network #1,Network #2,Network #3,Network #4,Network #5,Network #6,Network #7,Network #8,Num Monitors,Video Ram KiB,Resource pool,Folder,vApp,DAS protection,FT State,FT Latency,FT Bandwidth,FT Sec. Latency,Provisioned MiB,In Use MiB,Unshared MiB,HA Restart Priority,HA Isolation Response,HA VM Monitoring,Cluster rule(s),Cluster rule name(s),Boot Required,Boot delay,Boot retry delay,Boot retry enabled,Boot BIOS setup,Firmware,HW version,HW upgrade status,HW upgrade policy,HW target,Path,Log directory,Snapshot directory,Suspend directory,Annotation,NB_LAST_BACKUP,Datacenter,Cluster,Host,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server type,VI SDK API Version,CategoryBackup,SharePoint,VI SDK Server,VI SDK UUID
CTXSF0216VM - Access ISC,poweredOn,False,False,green,CTXSF0216VM.nbhdhqdomain.nbhd.org,connected,running,green,False,2023/10/02 20:00:18,,2023/10/02 19:57:37,2023/10/02 19:57:58,2,"8,192",1,1,intel-haswell,normal,True,True,10.60.6.120,DVS-APPLICATION-1130,,,,,,,,1,"4,096",/VxRail-Datacenter/VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32/Resources,/VxRail-Datacenter/CITRIX,,True,notConfigured,gray,-1,-1,"102,036","93,916","93,004",medium,none,vmMonitoringDisabled,,,False,0,"10,000",False,False,bios,11,none,never,,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] CTXSF0216VM - Access ISC/CTXSF0216VM - Access ISC.vmx,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] CTXSF0216VM - Access ISC/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] CTXSF0216VM - Access ISC/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] CTXSF0216VM - Access ISC/,CTX STOREFRONT,"Thu Oct  5 19:43:09 2023 -0400,nbumaster-isc.nbhdhqdomain.nbhd.org,VMware_ISCVCSRVRAIL",VxRail-Datacenter,VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32,iscvxnode16.nbhdhqdomain.nbhd.org,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2016 or later (64-bit),vm-4736,50264da4-d792-4061-f6af-dcb12578ebce,VMware vCenter Server 7.0.3 build-21477706,7.0.3.0,,,iscvcsrvrail.nbhdhqdomain.nbhd.org,6bc373d9-1fa4-43fc-a26b-57d6532ad666
EDMTEST119VM,poweredOn,False,False,green,EDMTEST119VM.nbhdhqdomain.nbhd.org,connected,running,green,False,2023/09/19 00:30:40,,2023/02/06 12:37:48,2023/09/27 11:38:33,2,"6,144",1,2,intel-merom,normal,True,True,10.60.23.177,DVS-SERVER-1193,,,,,,,,1,"4,096",/VxRail-Datacenter/VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32/Resources,/VxRail-Datacenter/Application Servers Clinical/EDM,,True,notConfigured,gray,-1,-1,"246,592","105,020","102,580",medium,none,vmMonitoringDisabled,,,False,0,"10,000",False,False,bios,19,none,never,,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] EDMTEST119VM/EDMTEST119VM.vmx,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] EDMTEST119VM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] EDMTEST119VM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] EDMTEST119VM/,2019 Template created by CP on 8/1/2020 Last Patched 12/21/2022 by CV. Latest Microsoft Edge was installed  also.,"Thu Oct  5 19:41:26 2023 -0400,nbumaster-isc.nbhdhqdomain.nbhd.org,VMware_ISCVCSRVRAIL",VxRail-Datacenter,VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32,iscvxnode01.nbhdhqdomain.nbhd.org,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2019 (64-bit),vm-1347,501ec96f-bd71-44b1-fc69-dcaa7115bcc3,VMware vCenter Server 7.0.3 build-21477706,7.0.3.0,,,iscvcsrvrail.nbhdhqdomain.nbhd.org,6bc373d9-1fa4-43fc-a26b-57d6532ad666
ESRS01LXVM,poweredOn,False,False,green,ESRS01LXVM,connected,running,green,False,2023/03/01 10:29:12,,2022/07/13 09:44:19,2023/08/03 11:47:47,4,"16,384",1,1,intel-merom,normal,,True,10.62.6.229,DVS-FWOOBMMGT-1530,,,,,,,,1,"4,096",/VxRail-Datacenter/VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32/Resources,/VxRail-Datacenter/Storage,,True,notConfigured,gray,-1,-1,"263,612","241,840","240,300",medium,none,vmMonitoringDisabled,,,False,0,"10,000",False,False,bios,14,none,never,,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ESRS01LXVM/ESRS01LXVM.vmx,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ESRS01LXVM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ESRS01LXVM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ESRS01LXVM/,,"Thu Oct  5 19:41:40 2023 -0400,nbumaster-isc.nbhdhqdomain.nbhd.org,VMware_ISCVCSRVRAIL",VxRail-Datacenter,VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32,iscvxnode17.nbhdhqdomain.nbhd.org,SUSE Linux Enterprise 11 (64-bit),SUSE Linux Enterprise 12 (64-bit),vm-1277,503de83e-5bd2-d66c-8b19-a58700aee8ec,VMware vCenter Server 7.0.3 build-21477706,7.0.3.0,,,iscvcsrvrail.nbhdhqdomain.nbhd.org,6bc373d9-1fa4-43fc-a26b-57d6532ad666
ESSPROD0112VM,poweredOn,False,False,green,ESSPROD0112VM.nbhdhqdomain.nbhd.org,connected,running,green,False,2023/09/28 00:13:04,,1969/12/31 19:00:00,2023/09/27 11:38:33,2,"16,384",1,1,intel-merom,normal,True,True,10.63.0.124,DVS-DMZ-2000,,,,,,,,1,"16,384",/VxRail-Datacenter/VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32/Resources,/VxRail-Datacenter/Application Servers Clinical/Lawson,,True,notConfigured,gray,-1,-1,"171,732","88,884","87,064",medium,none,vmMonitoringDisabled,,,False,0,"10,000",False,False,bios,19,none,never,,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ESSPROD0112VM/ESSPROD0112VM.vmx,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ESSPROD0112VM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ESSPROD0112VM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ESSPROD0112VM/,,"Thu Oct  5 19:41:34 2023 -0400,nbumaster-isc.nbhdhqdomain.nbhd.org,VMware_ISCVCSRVRAIL",VxRail-Datacenter,VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32,iscvxnode07.nbhdhqdomain.nbhd.org,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 (64-bit),vm-1380,502602ad-c4c8-c627-c412-4d779fdd0bfd,VMware vCenter Server 7.0.3 build-21477706,7.0.3.0,,,iscvcsrvrail.nbhdhqdomain.nbhd.org,6bc373d9-1fa4-43fc-a26b-57d6532ad666
FFIBRIDGE0116VM,poweredOn,False,False,green,FFIBRIDGE0116VM.nbhdhqdomain.nbhd.org,connected,running,green,False,2023/09/26 00:36:29,,1969/12/31 19:00:00,2023/09/27 11:38:34,4,"16,384",1,5,intel-merom,normal,True,True,10.60.0.194,DVS-SERVER-1100,,,,,,,,1,"4,096",/VxRail-Datacenter/VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32/Resources,/VxRail-Datacenter/Databases/FFI,,True,notConfigured,gray,-1,-1,"1,800,296","372,536","370,312",medium,none,vmMonitoringDisabled,,,False,0,"10,000",False,False,bios,15,none,never,,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] FFIBRIDGE0116VM/FFIBRIDGE0116VM.vmx,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] FFIBRIDGE0116VM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] FFIBRIDGE0116VM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] FFIBRIDGE0116VM/,"Last Patched: 04/15/2019-RG, Windows Updates changed from Automatic to Manual.","Mon Oct  2 20:28:39 2023 -0400,nbumaster-isc.nbhdhqdomain.nbhd.org,VMware_ISCVCSRVRAIL",VxRail-Datacenter,VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32,iscvxnode23.nbhdhqdomain.nbhd.org,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2016 or later (64-bit),vm-1877,5026d7db-19cf-ac59-2ccc-8f5efb126b51,VMware vCenter Server 7.0.3 build-21477706,7.0.3.0,"BackupExclusion, SQLServers",,iscvcsrvrail.nbhdhqdomain.nbhd.org,6bc373d9-1fa4-43fc-a26b-57d6532ad666
HUGS116VM,poweredOn,False,False,green,HUGS116VM.nbhdhqdomain.nbhd.org,connected,running,green,False,2023/10/05 11:16:41,,1969/12/31 19:00:00,2023/09/27 11:38:29,2,"16,384",1,5,intel-merom,normal,True,True,10.60.0.37,DVS-SERVER-1100,,,,,,,,1,"4,096",/VxRail-Datacenter/VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32/Resources,/VxRail-Datacenter/Databases,,True,notConfigured,gray,-1,-1,"601,656","180,712","179,048",medium,none,vmMonitoringDisabled,,,False,0,"10,000",False,False,bios,14,none,never,,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] HUGS116VM/HUGS116VM.vmx,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] HUGS116VM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] HUGS116VM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] HUGS116VM/,"Infant monitoring system. AO: Mcnamara, Ekaterina","Mon Oct  2 20:31:28 2023 -0400,nbumaster-isc.nbhdhqdomain.nbhd.org,VMware_ISCVCSRVRAIL",VxRail-Datacenter,VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32,iscvxnode24.nbhdhqdomain.nbhd.org,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2016 or later (64-bit),vm-4286,50268d90-db6b-018f-d08a-afe91ac5e56d,VMware vCenter Server 7.0.3 build-21477706,7.0.3.0,"BackupExclusion, SQLServers",,iscvcsrvrail.nbhdhqdomain.nbhd.org,6bc373d9-1fa4-43fc-a26b-57d6532ad666
ISCADC04,poweredOn,False,False,green,ISCADC04.nbhdhqdomain.nbhd.org,connected,running,green,False,2023/10/05 16:42:24,,1969/12/31 19:00:00,2023/10/05 16:43:25,4,"16,384",1,2,intel-merom,normal,True,True,10.60.0.149,DVS-SERVER-1100,,,,,,,,1,"16,384",/VxRail-Datacenter/VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32/Resources,/VxRail-Datacenter/Virtualization Technologies - Microsoft/Active Directory DC's,,True,notConfigured,gray,-1,-1,"878,676","232,144","231,212",medium,none,vmMonitoringDisabled,,,False,0,"10,000",False,False,bios,19,none,never,,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISCADC04/ISCADC04.vmx,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISCADC04/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISCADC04/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISCADC04/,,"Thu Oct  5 19:43:04 2023 -0400,nbumaster-isc.nbhdhqdomain.nbhd.org,VMware_ISCVCSRVRAIL",VxRail-Datacenter,VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32,iscvxnode02.nbhdhqdomain.nbhd.org,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2012 (64-bit),vm-4877,503dcdc1-7992-af53-34cd-e20ed5e21b97,VMware vCenter Server 7.0.3 build-21477706,7.0.3.0,,,iscvcsrvrail.nbhdhqdomain.nbhd.org,6bc373d9-1fa4-43fc-a26b-57d6532ad666
ISCADC11,poweredOn,False,False,green,ISCADC11.nbhdhqdomain.nbhd.org,connected,running,green,False,2023/09/22 00:17:07,,2021/10/13 14:14:05,2023/09/27 11:38:32,4,"16,384",1,2,intel-merom,normal,True,True,10.60.0.223,DVS-SERVER-1100,,,,,,,,1,"4,096",/VxRail-Datacenter/VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32/Resources,/VxRail-Datacenter/Virtualization Technologies - Microsoft/Active Directory DC's,,True,notConfigured,gray,-1,-1,"233,288","74,888","72,952",medium,none,vmMonitoringDisabled,,,False,0,"10,000",False,False,bios,19,none,never,,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISCADC11 (non-prod)/ISCADC11 (non-prod).vmx,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISCADC11 (non-prod)/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISCADC11 (non-prod)/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISCADC11 (non-prod)/,2019 Template created by CP on 8/1/2020 Last Patched 8/42020,"Thu Oct  5 19:41:32 2023 -0400,nbumaster-isc.nbhdhqdomain.nbhd.org,VMware_ISCVCSRVRAIL",VxRail-Datacenter,VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32,iscvxnode01.nbhdhqdomain.nbhd.org,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2019 (64-bit),vm-2196,50390499-d8f2-e745-29e6-d46f984c8a23,VMware vCenter Server 7.0.3 build-21477706,7.0.3.0,,,iscvcsrvrail.nbhdhqdomain.nbhd.org,6bc373d9-1fa4-43fc-a26b-57d6532ad666
ISCADC12,poweredOn,False,False,green,ISCADC12.nbhdhqdomain.nbhd.org,connected,running,green,False,2023/09/22 02:40:16,,2021/10/13 14:14:56,2023/09/27 11:38:32,4,"16,384",1,2,intel-merom,normal,True,True,10.60.0.95,DVS-SERVER-1100,,,,,,,,1,"4,096",/VxRail-Datacenter/VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32/Resources,/VxRail-Datacenter/Virtualization Technologies - Microsoft/Active Directory DC's,,True,notConfigured,gray,-1,-1,"233,668","74,520","72,204",medium,none,vmMonitoringDisabled,,,False,0,"10,000",False,False,bios,15,none,never,,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISCADC12 (non-prod)/ISCADC12 (non-prod).vmx,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISCADC12 (non-prod)/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISCADC12 (non-prod)/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISCADC12 (non-prod)/,2019 Template created by CP on 8/1/2020 Last Patched 8/42020,"Thu Oct  5 19:41:48 2023 -0400,nbumaster-isc.nbhdhqdomain.nbhd.org,VMware_ISCVCSRVRAIL",VxRail-Datacenter,VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32,iscvxnode10.nbhdhqdomain.nbhd.org,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),vm-2197,503941de-ef88-90c4-ed5c-335fb690eecc,VMware vCenter Server 7.0.3 build-21477706,7.0.3.0,,,iscvcsrvrail.nbhdhqdomain.nbhd.org,6bc373d9-1fa4-43fc-a26b-57d6532ad666
ISCADC14,poweredOn,False,False,green,ISCADC14.nbhdhqdomain.nbhd.org,connected,running,green,False,2023/10/05 11:00:32,,2023/09/15 13:16:56,2023/09/27 11:38:32,4,"16,384",1,2,intel-haswell,normal,True,True,10.60.23.250,DVS-SERVER-1193,,,,,,,,1,"4,096",/VxRail-Datacenter/VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32/Resources,/VxRail-Datacenter/Virtualization Technologies - Microsoft/Active Directory DC's,,True,notConfigured,gray,-1,-1,"294,880","55,628","53,540",medium,none,vmMonitoringDisabled,,,False,0,"10,000",False,False,bios,19,none,never,,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISCADC14/ISCADC14.vmx,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISCADC14/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISCADC14/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISCADC14/,2019 Template created by CP on 8/1/2020 Last Patched 12/21/2022 by CV. Latest Microsoft Edge was installed  also.  3.13.23 - Changed Power Settings - CP,"Thu Oct  5 19:41:08 2023 -0400,nbumaster-isc.nbhdhqdomain.nbhd.org,VMware_ISCVCSRVRAIL",VxRail-Datacenter,VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32,iscvxnode10.nbhdhqdomain.nbhd.org,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2019 (64-bit),vm-2325,500d0a68-b6eb-78f7-7d9c-1b80e53eb473,VMware vCenter Server 7.0.3 build-21477706,7.0.3.0,,,iscvcsrvrail.nbhdhqdomain.nbhd.org,6bc373d9-1fa4-43fc-a26b-57d6532ad666
ISCADR09,poweredOn,False,False,green,ISCADR09.nbhd.org,connected,running,green,False,2023/09/28 00:18:31,,2021/10/13 14:29:56,2023/09/27 11:38:32,4,"16,384",1,1,intel-merom,normal,True,True,10.60.0.22,DVS-SERVER-1100,,,,,,,,1,"4,096",/VxRail-Datacenter/VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32/Resources,/VxRail-Datacenter/Virtualization Technologies - Microsoft/Active Directory DC's,,True,notConfigured,gray,-1,-1,"140,708","94,264","92,748",medium,none,vmMonitoringDisabled,,,False,0,"10,000",False,False,bios,15,none,never,,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISCADR09/ISCADR09.vmx,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISCADR09/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISCADR09/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISCADR09/,2019 Template created by CP on 8/1/2020 RG: Promoted to Root DC on 10202022,"Thu Oct  5 19:41:25 2023 -0400,nbumaster-isc.nbhdhqdomain.nbhd.org,VMware_ISCVCSRVRAIL",VxRail-Datacenter,VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32,iscvxnode07.nbhdhqdomain.nbhd.org,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),vm-2201,5039e5dd-bee4-3534-7fcb-4c6519661271,VMware vCenter Server 7.0.3 build-21477706,7.0.3.0,,,iscvcsrvrail.nbhdhqdomain.nbhd.org,6bc373d9-1fa4-43fc-a26b-57d6532ad666
ISCAMZCHT0108ESVM-DO NOT Power ON,poweredOff,False,False,green,,connected,notRunning,gray,False,,,1969/12/31 19:00:00,2023/09/27 11:38:31,2,"8,192",1,1,,normal,True,True,,CITRIXFARM-1120,,,,,,,,1,"4,096",/VxRail-Datacenter/VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32/Resources,/VxRail-Datacenter/Retiring Final backup taken,,,notConfigured,gray,-1,-1,"738,566","660,956","660,584",medium,none,vmMonitoringDisabled,,,False,0,"10,000",False,False,bios,8,none,never,,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISCAMZCHT0108ESVM-DO NOT Power ON/ISCAMZCHT0108ESVM-DO NOT Power ON.vmx,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISCAMZCHT0108ESVM-DO NOT Power ON/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISCAMZCHT0108ESVM-DO NOT Power ON/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISCAMZCHT0108ESVM-DO NOT Power ON/,vRanger Backup & Replication: Type [Full] Result [Success] Time [11/28/2013 9:52:37 PM] Repository [Vranger_L]Includes Sp1. 2GB of Ram. 1 CPU. 20GB HD.  RDP Enabled. Firewall Disabled. Blink Server Edition. Fully Patched 8/2/2011,"Wed Dec 01 18:48:04 2021 -0500,bhbackup01.nbhdhqdomain.nbhd.org,BACKUP_VCSRVSA_ALL_EXCLUDING_SQL",VxRail-Datacenter,VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32,iscvxnode08.nbhdhqdomain.nbhd.org,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2008 R2 (64-bit),vm-1237,50101b6f-effd-0609-7e37-c7ce5b5f5c59,VMware vCenter Server 7.0.3 build-21477706,7.0.3.0,,,iscvcsrvrail.nbhdhqdomain.nbhd.org,6bc373d9-1fa4-43fc-a26b-57d6532ad666
ISC-DC-FEYECMS-1,poweredOn,False,False,green,,connected,notRunning,gray,False,2023/09/07 14:01:04,,2022/07/20 13:36:11,2023/09/27 11:38:30,8,"65,536",4,1,intel-haswell,normal,,True,,DVS_FIREWALL_1560,DVS_FIREWALL_1560,DVS_FIREWALL_1560,DVS_FIREWALL_1560,,,,,1,"8,192",/VxRail-Datacenter/VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32/Resources,/VxRail-Datacenter/Cyber Security,,True,notConfigured,gray,-1,-1,"1,954,040","836,996","835,856",medium,none,vmMonitoringDisabled,,,False,0,"10,000",False,False,bios,10,none,never,,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISC-DC-FEYECMS-1/ISC-DC-FEYECMS-1.vmx,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISC-DC-FEYECMS-1/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISC-DC-FEYECMS-1/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISC-DC-FEYECMS-1/,FireEye CM 4500 Virtual Appliance.  ETA to get rid of this: end of October 2023 as per Mike Mcd. CV,"Wed Oct  4 20:31:38 2023 -0400,nbumaster-isc.nbhdhqdomain.nbhd.org,VMware_ISCVCSRVRAIL",VxRail-Datacenter,VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32,iscvxnode09.nbhdhqdomain.nbhd.org,Red Hat Enterprise Linux 7 (64-bit),Red Hat Enterprise Linux 7 (64-bit),vm-2060,502636ae-9567-6048-8e2a-d8901f5e2db6,VMware vCenter Server 7.0.3 build-21477706,7.0.3.0,,,iscvcsrvrail.nbhdhqdomain.nbhd.org,6bc373d9-1fa4-43fc-a26b-57d6532ad666
ISC-ISE-ADM,poweredOn,False,False,green,isc-ise-adm,connected,running,green,False,2023/09/25 16:17:17,,2022/03/07 16:23:49,2023/09/27 11:38:31,12,"65,536",1,1,intel-haswell,normal,,True,169.254.4.1,DVS-CTX-TER-1195,,,,,,,,1,"8,192",/VxRail-Datacenter/VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32/Resources,/VxRail-Datacenter/Network Engineering,,True,notConfigured,gray,-1,-1,"987,948","429,292","428,408",medium,none,vmMonitoringDisabled,,,False,0,"10,000",False,False,bios,9,none,never,,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISC-ISE-ADM/ISC-ISE-ADM.vmx,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISC-ISE-ADM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISC-ISE-ADM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ISC-ISE-ADM/,Stays at ISC,"Thu Oct  5 19:42:32 2023 -0400,nbumaster-isc.nbhdhqdomain.nbhd.org,VMware_ISCVCSRVRAIL",VxRail-Datacenter,VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32,iscvxnode15.nbhdhqdomain.nbhd.org,Red Hat Enterprise Linux 7 (64-bit),Red Hat Enterprise Linux 7 (64-bit),vm-4300,5039656d-7a23-f1b5-a19e-834f863dd613,VMware vCenter Server 7.0.3 build-21477706,7.0.3.0,,,iscvcsrvrail.nbhdhqdomain.nbhd.org,6bc373d9-1fa4-43fc-a26b-57d6532ad666
